"state_abbr","region"
"AL","SOUTH"
"AK","WEST"
"AS","TERRITORIES"
"AZ","WEST"
"AR","SOUTH"
"CA","WEST"
"CO","WEST"
"CT","NORTHEAST"
"DA","TERRITORIES"
"DE","SOUTH"
"DC","SOUTH"
"FL","SOUTH"
"GA","SOUTH"
"GU","TERRITORIES"
"HI","WEST"
"ID","WEST"
"IL","MIDWEST"
"IN","MIDWEST"
"IA","MIDWEST"
"KS","MIDWEST"
"KY","SOUTH"
"LA","SOUTH"
"ME","NORTHEAST"
"MD","SOUTH"
"MA","NORTHEAST"
"MI","MIDWEST"
"MN","MIDWEST"
"MS","SOUTH"
"MO","MIDWEST"
"MT","WEST"
"NE","MIDWEST"
"NV","WEST"
"NH","NORTHEAST"
"NJ","NORTHEAST"
"NM","WEST"
"NY","NORTHEAST"
"NC","SOUTH"
"ND","MIDWEST"
"MP","TERRITORIES"
"OH","MIDWEST"
"OK","SOUTH"
"OR","WEST"
"PA","NORTHEAST"
"PR","TERRITORIES"
"RI","NORTHEAST"
"SC","SOUTH"
"SD","MIDWEST"
"TN","SOUTH"
"TX","SOUTH"
"UT","WEST"
"VT","NORTHEAST"
"VI","TERRITORIES"
"VA","SOUTH"
"WA","WEST"
"WV","SOUTH"
"WI","MIDWEST"
"WY","WEST"
